time,day,month,year,precipitation
1293814800.0,1,1,2011,2.8
1293901200.0,2,1,2011,0.4
1293987600.0,3,1,2011,0.4
1294074000.0,4,1,2011,3.0
1294160400.0,5,1,2011,0.2
1294246800.0,6,1,2011,4.0
1294333200.0,7,1,2011,36.0
1294419600.0,8,1,2011,12.6
1294506000.0,9,1,2011,1.8
1294592400.0,10,1,2011,0.4
1294678800.0,11,1,2011,0.0
1294765200.0,12,1,2011,0.0
1294851600.0,13,1,2011,0.0
1294938000.0,14,1,2011,0.0
1295024400.0,15,1,2011,21.4
1295110800.0,16,1,2011,7.2
1295197200.0,17,1,2011,0.6
1295283600.0,18,1,2011,1.2
1295370000.0,19,1,2011,1.0
1295456400.0,20,1,2011,0.2
1295542800.0,21,1,2011,0.0
1295629200.0,22,1,2011,0.0
1295715600.0,23,1,2011,0.0
1295802000.0,24,1,2011,0.8
1295888400.0,25,1,2011,0.8
1295974800.0,26,1,2011,1.0
1296061200.0,27,1,2011,5.2
1296147600.0,28,1,2011,4.8
1296234000.0,29,1,2011,8.4
1296320400.0,30,1,2011,18.0
1296406800.0,31,1,2011,23.4
1296493200.0,1,2,2011,0.0
1296579600.0,2,2,2011,0.8
1296666000.0,3,2,2011,0.2
1296752400.0,4,2,2011,0.0
1296838800.0,5,2,2011,0.2
1296925200.0,6,2,2011,0.0
1297011600.0,7,2,2011,0.0
1297098000.0,8,2,2011,0.2
1297184400.0,9,2,2011,0.0
1297270800.0,10,2,2011,0.0
1297357200.0,11,2,2011,0.0
1297443600.0,12,2,2011,7.8
1297530000.0,13,2,2011,0.8
1297616400.0,14,2,2011,6.6
1297702800.0,15,2,2011,0.2
1297789200.0,16,2,2011,0.0
1297875600.0,17,2,2011,0.0
1297962000.0,18,2,2011,0.0
1298048400.0,19,2,2011,0.2
1298134800.0,20,2,2011,0.0
1298221200.0,21,2,2011,1.0
1298307600.0,22,2,2011,0.0
1298394000.0,23,2,2011,0.0
1298480400.0,24,2,2011,0.0
1298566800.0,25,2,2011,0.0
1298653200.0,26,2,2011,0.0
1298739600.0,27,2,2011,0.0
1298826000.0,28,2,2011,0.0
1298912400.0,1,3,2011,0.0
1298998800.0,2,3,2011,0.0
1299085200.0,3,3,2011,0.0
1299171600.0,4,3,2011,1.2
1299258000.0,5,3,2011,0.8
1299344400.0,6,3,2011,0.0
1299430800.0,7,3,2011,0.2
1299517200.0,8,3,2011,6.4
1299603600.0,9,3,2011,0.0
1299690000.0,10,3,2011,0.0
1299776400.0,11,3,2011,0.0
1299862800.0,12,3,2011,0.0
1299949200.0,13,3,2011,0.0
1300035600.0,14,3,2011,0.0
1300122000.0,15,3,2011,0.0
1300208400.0,16,3,2011,8.2
1300294800.0,17,3,2011,0.2
1300381200.0,18,3,2011,0.4
1300467600.0,19,3,2011,0.0
1300554000.0,20,3,2011,0.0
1300640400.0,21,3,2011,0.0
1300726800.0,22,3,2011,2.8
1300813200.0,23,3,2011,32.2
1300899600.0,24,3,2011,6.6
1300986000.0,25,3,2011,11.8
1301072400.0,26,3,2011,2.0
1301158800.0,27,3,2011,2.2
1301245200.0,28,3,2011,1.4
1301331600.0,29,3,2011,3.0
1301418000.0,30,3,2011,0.4
1301504400.0,31,3,2011,0.0
1301590800.0,1,4,2011,0.0
1301677200.0,2,4,2011,0.0
1301763600.0,3,4,2011,0.0
1301850000.0,4,4,2011,0.0
1301936400.0,5,4,2011,0.0
1302022800.0,6,4,2011,0.0
1302109200.0,7,4,2011,0.0
1302195600.0,8,4,2011,0.2
1302282000.0,9,4,2011,0.0
1302368400.0,10,4,2011,3.0
1302454800.0,11,4,2011,0.0
1302541200.0,12,4,2011,0.0
1302627600.0,13,4,2011,0.0
1302714000.0,14,4,2011,0.0
1302800400.0,15,4,2011,0.0
1302886800.0,16,4,2011,0.0
1302973200.0,17,4,2011,0.0
1303059600.0,18,4,2011,6.8
1303146000.0,19,4,2011,0.0
1303232400.0,20,4,2011,0.0
1303318800.0,21,4,2011,1.2
1303405200.0,22,4,2011,0.0
1303491600.0,23,4,2011,0.0
1303578000.0,24,4,2011,0.0
1303664400.0,25,4,2011,0.0
1303750800.0,26,4,2011,0.0
1303837200.0,27,4,2011,0.0
1303923600.0,28,4,2011,0.0
1304010000.0,29,4,2011,4.8
1304096400.0,30,4,2011,0.0
1304182800.0,1,5,2011,0.0
1304269200.0,2,5,2011,0.0
1304355600.0,3,5,2011,0.0
1304442000.0,4,5,2011,0.0
1304528400.0,5,5,2011,0.0
1304614800.0,6,5,2011,0.0
1304701200.0,7,5,2011,0.0
1304787600.0,8,5,2011,2.8
1304874000.0,9,5,2011,0.2
1304960400.0,10,5,2011,0.0
1305046800.0,11,5,2011,0.0
1305133200.0,12,5,2011,1.0
1305219600.0,13,5,2011,6.8
1305306000.0,14,5,2011,0.0
1305392400.0,15,5,2011,0.0
1305478800.0,16,5,2011,0.0
1305565200.0,17,5,2011,0.0
1305651600.0,18,5,2011,13.8
1305738000.0,19,5,2011,1.2
1305824400.0,20,5,2011,0.0
1305910800.0,21,5,2011,0.0
1305997200.0,22,5,2011,0.0
1306083600.0,23,5,2011,0.4
1306170000.0,24,5,2011,0.0
1306256400.0,25,5,2011,0.0
1306342800.0,26,5,2011,0.0
1306429200.0,27,5,2011,0.0
1306515600.0,28,5,2011,0.0
1306602000.0,29,5,2011,0.0
1306688400.0,30,5,2011,0.0
1306774800.0,31,5,2011,0.0
1306861200.0,1,6,2011,0.0
1306947600.0,2,6,2011,0.0
1307034000.0,3,6,2011,7.2
1307120400.0,4,6,2011,0.0
1307206800.0,5,6,2011,0.0
1307293200.0,6,6,2011,0.0
1307379600.0,7,6,2011,0.0
1307466000.0,8,6,2011,0.0
1307552400.0,9,6,2011,0.0
1307638800.0,10,6,2011,0.0
1307725200.0,11,6,2011,0.0
1307811600.0,12,6,2011,0.0
1307898000.0,13,6,2011,0.0
1307984400.0,14,6,2011,0.0
1308070800.0,15,6,2011,8.6
1308157200.0,16,6,2011,0.0
1308243600.0,17,6,2011,0.0
1308330000.0,18,6,2011,5.0
1308416400.0,19,6,2011,4.6
1308502800.0,20,6,2011,35.0
1308589200.0,21,6,2011,12.8
1308675600.0,22,6,2011,0.0
1308762000.0,23,6,2011,0.0
1308848400.0,24,6,2011,0.4
1308934800.0,25,6,2011,0.0
1309021200.0,26,6,2011,0.0
1309107600.0,27,6,2011,0.0
1309194000.0,28,6,2011,0.0
1309280400.0,29,6,2011,0.0
1309366800.0,30,6,2011,0.0
1309453200.0,1,7,2011,0.0
1309539600.0,2,7,2011,0.0
1309626000.0,3,7,2011,0.0
1309712400.0,4,7,2011,0.0
1309798800.0,5,7,2011,0.0
1309885200.0,6,7,2011,0.0
1309971600.0,7,7,2011,0.0
1310058000.0,8,7,2011,0.0
1310144400.0,9,7,2011,3.4
1310230800.0,10,7,2011,0.0
1310317200.0,11,7,2011,0.0
1310403600.0,12,7,2011,6.8
1310490000.0,13,7,2011,0.0
1310576400.0,14,7,2011,0.0
1310662800.0,15,7,2011,0.2
1310749200.0,16,7,2011,0.0
1310835600.0,17,7,2011,0.0
1310922000.0,18,7,2011,0.8
1311008400.0,19,7,2011,0.0
1311094800.0,20,7,2011,0.0
1311181200.0,21,7,2011,0.0
1311267600.0,22,7,2011,0.0
1311354000.0,23,7,2011,0.0
1311440400.0,24,7,2011,0.4
1311526800.0,25,7,2011,0.2
1311613200.0,26,7,2011,0.0
1311699600.0,27,7,2011,0.0
1311786000.0,28,7,2011,0.0
1311872400.0,29,7,2011,0.0
1311958800.0,30,7,2011,0.0
1312045200.0,31,7,2011,18.8
1312131600.0,1,8,2011,9.6
1312218000.0,2,8,2011,0.0
1312304400.0,3,8,2011,3.8
1312390800.0,4,8,2011,0.0
1312477200.0,5,8,2011,20.4
1312563600.0,6,8,2011,8.4
1312650000.0,7,8,2011,0.0
1312736400.0,8,8,2011,0.6
1312822800.0,9,8,2011,0.0
1312909200.0,10,8,2011,0.0
